,GroupSize,Age Group,CabinDeck,SplitFare,Pclass
119,5,1,A,,1
120,5,1,B,,1
121,5,1,C,,1
122,5,1,D,,1
123,5,1,E,,1
124,5,1,T,,1
125,5,1,Unknown,,1
126,5,2,A,,1
127,5,2,B,,1
128,5,2,C,42.3,1
129,5,2,D,,1
130,5,2,E,,1
131,5,2,T,,1
132,5,2,Unknown,45.505,1
133,5,3,A,,1
134,5,3,B,,1
135,5,3,C,,1
136,5,3,D,,1
137,5,3,E,,1
138,5,3,T,,1
139,5,3,Unknown,,1
140,6,0,A,,1
141,6,0,B,,1
142,6,0,C,25.258333333333336,1
143,6,0,D,,1
144,6,0,E,,1
145,6,0,T,,1
146,6,0,Unknown,,1
147,6,1,A,,1
148,6,1,B,,1
149,6,1,C,,1
150,6,1,D,,1
151,6,1,E,,1
152,6,1,T,,1
153,6,1,Unknown,,1
154,6,2,A,,1
155,6,2,B,,1
156,6,2,C,37.64166666666667,1
157,6,2,D,,1
158,6,2,E,,1
159,6,2,T,,1
160,6,2,Unknown,,1
161,6,3,A,,1
162,6,3,B,,1
163,6,3,C,,1
164,6,3,D,,1
165,6,3,E,,1
166,6,3,T,,1
167,6,3,Unknown,,1
168,1,0,D,,2
169,1,0,E,,2
170,1,0,F,,2
171,1,0,Unknown,,2
172,1,1,D,,2
173,1,1,E,,2
174,1,1,F,,2
175,1,1,Unknown,,2
176,1,2,D,12.875,2
177,1,2,E,,2
178,1,2,F,,2
179,1,2,Unknown,11.735496153846155,2
180,1,3,D,,2
181,1,3,E,,2
182,1,3,F,,2
183,1,3,Unknown,10.5,2
184,2,0,D,,2
185,2,0,E,,2
186,2,0,F,,2
187,2,0,Unknown,,2
188,2,1,D,,2
189,2,1,E,,2
190,2,1,F,,2
191,2,1,Unknown,9.125,2
192,2,2,D,,2
193,2,2,E,5.25,2
194,2,2,F,,2
195,2,2,Unknown,12.063445454545455,2
196,2,3,D,,2
197,2,3,E,,2
198,2,3,F,,2
199,2,3,Unknown,,2
200,3,0,D,,2
201,3,0,E,,2
202,3,0,F,,2
203,3,0,Unknown,,2
204,3,1,D,,2
205,3,1,E,,2
206,3,1,F,,2
207,3,1,Unknown,,2
208,3,2,D,,2
209,3,2,E,,2
210,3,2,F,8.666666666666666,2
211,3,2,Unknown,6.7293416666666666,2
212,3,3,D,,2
213,3,3,E,,2
214,3,3,F,,2
215,3,3,Unknown,,2
216,4,0,D,,2
217,4,0,E,,2
218,4,0,F,,2
219,4,0,Unknown,,2
220,4,1,D,,2
221,4,1,E,,2
222,4,1,F,,2
223,4,1,Unknown,,2
224,4,2,D,,2
225,4,2,E,,2
226,4,2,F,,2
227,4,2,Unknown,8.839933333333333,2
228,4,3,D,,2
229,4,3,E,,2
230,4,3,F,,2
231,4,3,Unknown,,2
232,7,0,D,,2
233,7,0,E,,2
234,7,0,F,,2
235,7,0,Unknown,,2
236,7,1,D,,2
237,7,1,E,,2
238,7,1,F,,2
239,7,1,Unknown,,2
240,7,2,D,,2
241,7,2,E,,2
242,7,2,F,,2
243,7,2,Unknown,10.5,2
244,7,3,D,,2
245,7,3,E,,2
246,7,3,F,,2
247,7,3,Unknown,,2
248,1,0,F,,3
249,1,0,G,,3
250,1,0,Unknown,,3
251,1,1,F,,3
252,1,1,G,,3
253,1,1,Unknown,7.982209090909091,3
254,1,2,F,7.675000000000001,3
255,1,2,G,,3
256,1,2,Unknown,7.973845606694561,3
257,1,3,F,,3
258,1,3,G,,3
259,1,3,Unknown,7.7625,3
260,2,0,F,,3
261,2,0,G,5.23125,3
262,2,0,Unknown,,3
263,2,1,F,,3
264,2,1,G,,3
265,2,1,Unknown,7.491669999999999,3
266,2,2,F,,3
267,2,2,G,5.23125,3
268,2,2,Unknown,7.686237878787878,3
269,2,3,F,,3
270,2,3,G,,3
271,2,3,Unknown,,3
272,3,0,F,,3
273,3,0,G,,3
274,3,0,Unknown,,3
275,3,1,F,,3
276,3,1,G,,3
277,3,1,Unknown,6.627311111111111,3
278,3,2,F,,3
279,3,2,G,,3
280,3,2,Unknown,6.857777777777778,3
281,3,3,F,,3
282,3,3,G,,3
283,3,3,Unknown,,3
284,4,0,F,,3
285,4,0,G,,3
286,4,0,Unknown,,3
287,4,1,F,,3
288,4,1,G,,3
289,4,1,Unknown,,3
290,4,2,F,,3
291,4,2,G,,3
292,4,2,Unknown,2.811458333333333,3
293,4,3,F,,3
294,4,3,G,,3
295,4,3,Unknown,,3
296,5,0,F,,3
297,5,0,G,,3
298,5,0,Unknown,4.215,3
299,5,1,F,,3
300,5,1,G,,3
301,5,1,Unknown,5.545,3
302,5,2,F,,3
303,5,2,G,,3
304,5,2,Unknown,5.476908571428571,3
305,5,3,F,,3
306,5,3,G,,3
307,5,3,Unknown,,3
308,6,0,F,,3
309,6,0,G,,3
310,6,0,Unknown,4.752083333333333,3
311,6,1,F,,3
312,6,1,G,,3
313,6,1,Unknown,4.752083333333333,3
314,6,2,F,,3
315,6,2,G,,3
316,6,2,Unknown,4.718055555555555,3
317,6,3,F,,3
318,6,3,G,,3
319,6,3,Unknown,,3
320,7,0,F,,3
321,7,0,G,,3
322,7,0,Unknown,5.269047619047619,3
323,7,1,F,,3
324,7,1,G,,3
325,7,1,Unknown,4.920535714285714,3
326,7,2,F,,3
327,7,2,G,,3
328,7,2,Unknown,4.86845238095238,3
329,7,3,F,,3
330,7,3,G,,3
331,7,3,Unknown,,3
332,8,0,F,,3
333,8,0,G,,3
334,8,0,Unknown,5.8625,3
335,8,1,F,,3
336,8,1,G,,3
337,8,1,Unknown,5.8625,3
338,8,2,F,,3
339,8,2,G,,3
340,8,2,Unknown,6.6621500000000005,3
341,8,3,F,,3
342,8,3,G,,3
343,8,3,Unknown,,3
344,11,0,F,,3
345,11,0,G,,3
346,11,0,Unknown,,3
347,11,1,F,,3
348,11,1,G,,3
349,11,1,Unknown,,3
350,11,2,F,,3
351,11,2,G,,3
352,11,2,Unknown,6.322727272727272,3
353,11,3,F,,3
354,11,3,G,,3
355,11,3,Unknown,,3
