,GroupSize,Pclass,Age Group,CabinDeck,MeanFareSurv,StdFareSurv,MeanFareNotSurv,StdFareNotSurv,MeanFareUnk,StdFareUnk,MatchingFound
0,3,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,3,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,0,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,0,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,0,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,0,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,5,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,5,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,5,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,5,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,5,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,5,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,5,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,5,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,1,2,3,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,1,2,3,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,1,2,3,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,1,2,3,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,7,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,7,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,7,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,7,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,2,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,2,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,2,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,2,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,2,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,2,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,2,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,2,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,0,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,0,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,0,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,3,2,0,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,3,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,3,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,3,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,3,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,3,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,0,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,0,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,0,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,0,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,4,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,4,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,4,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,4,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,5,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,5,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,5,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,5,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,5,2,2,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,5,2,2,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,5,2,2,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,5,2,2,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,1,2,3,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,1,2,3,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,1,2,3,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,1,2,3,G,7.255,1.0,7.255,1.0,7.255,1.0,
0,7,2,1,D,13.2639,0.4570882081174273,12.875,0.5,13.2639,0.4570882081174273,
0,7,2,1,E,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,11.950000000000001,1.2971121771072855,
0,7,2,1,F,11.333333333333334,1.4433756729740645,11.8,1.44,11.333333333333334,1.4433756729740645,
0,7,2,1,G,7.255,1.0,7.255,1.0,7.255,1.0,
